Panjšīr,Panjshir,پنجشير,Afghanistan,,,,Kabul
Daykondī,Daikondi,دايكندي,Afghanistan,,,,Kabul
Zābul,"Zabol, Zabul, Zābol",زابل,Afghanistan,,,,Kabul
Maydan-Wardak,"Maydan, Wardag, Wardak",ميدان وردك,Afghanistan,,,,Kabul
Urūzgān,"Oruzgan, Oruzghan, Orūzghān, Uruzgan, Uruzghan, Urūzghān",ارزگان,Afghanistan,,,,Kabul
Taẖār,"Tahar, Takhar, Takhār",تخار,Afghanistan,,,,Kabul
Sar-e Pul,"Sar-e Pol, Sar-i Pol, Sari Pol",سر پل,Afghanistan,,,,Kabul
Samangān,,سمنگان,Afghanistan,,,,Kabul
Kunduz,,كندز,Afghanistan,,,,Kabul
Kandahār,Kandahar,كندهار,Afghanistan,,,,Kabul
Parwān,"Parvan, Parvān, Parwan",پروان,Afghanistan,,,,Kabul
Paktiyā,"Paktia, Paktiya, Paktīā",پكتيا,Afghanistan,,,,Kabul
Paktīkā,Paktika,پكتيكا,Afghanistan,,,,Kabul
Nūristān,"Nooristan, Nouristan, Nurestan",نورستان,Afghanistan,,,,Kabul
Nimruz,"Chakhānsur, Neemroze, Nimroz, Nimroze",نيمروز,Afghanistan,,,,Kabul
Nangarhār,"Nangarhar, Ningarhar",ننگرهار,Afghanistan,,,,Kabul
Lawgar,"Logar, Loghar, Lowgar, Lowghar",لوگر,Afghanistan,,,,Kabul
Laġmān,"Laghman, Laghmān, Lagman",لغمان,Afghanistan,,,,Kabul
Kunarhā,Kunar,كنرها,Afghanistan,,,,Kabul
Kāpīsā,"Kapesa, Kapisa, Kapissa",كاپيسا,Afghanistan,,,,Kabul
Kabul,"Kabol, Kābol, Kābul, Kabul",كابل,Afghanistan,,,,Kabul
Jawzjān,"Jawzjan, Jowzjan, Jowzjān, Jozjan, Juzjan",جوزجان,Afghanistan,,,,Kabul
Hilmand,"Helmand, Hilmend",هلمند,Afghanistan,,,,Kabul
Herāt,Herat,هرات,Afghanistan,,,,Kabul
Khowst,"H̱ōst, Khawst, Khost, Matun, Matūn, H̱awst",خوست,Afghanistan,,,,Kabul
Ġaznī,"Gazni, Ghazni",غزنى,Afghanistan,,,,Kabul
Ġawr,"Ghawr, Ghor, Ghowr, Gōr",غور,Afghanistan,,,,Kabul
Fāryāb,Fariab,فارياب,Afghanistan,,,,Kabul
Farāh,Fahrah,فراه,Afghanistan,,,,Kabul
Bāmiyān,"Bamian, Bamiyan, Bāmīān",باميان,Afghanistan,,,,Kabul
Balẖ,Balkh,بلخ,Afghanistan,,,,Kabul
Baġlān,"Baghlan, Baghlān, Baglan",بغلان,Afghanistan,,,,Kabul
Bādgīs,"Badghis, Badgis, Bādghīs",بادغيس,Afghanistan,,,,Kabul
Badakhshan,Badaẖšan,بدخشان,Afghanistan,,,,Kabul
Rudbar,,,Afghanistan,Nimruz,,,Kabul
Mirabad,,,Afghanistan,Nimruz,,,Kabul
Deh Šū,"'Alāqehdārī Deh-e Shū, Deh Shu, Deh Shū, Deh-e Šū, Deshu",,Afghanistan,Hilmand,,,Kabul
Zaranj,"Zarandj, Zaranǧ, Zarndj",زرنج,Afghanistan,Nimruz,,,Kabul
Darwīšan,"Darvishan, Darvīshan, Darweshan, Darwishan, Darwīshan",,Afghanistan,Hilmand,,,Kabul
Čaẖansur,"Asl-e Chakhansur, Aşl-e Čaẖānsūr, Chakhansur",,Afghanistan,Nimruz,,,Kabul
H̱aš,Khash,,Afghanistan,Nimruz,,,Kabul
Laškar Gāh,"Bust, Lashkar Bazar, Lashkar Gah, Lashkar Gāh, Lashkarga, Lashkargha, Qal'eh-ye Best, Qala-e Best, Qala-i Bist, Qala-ye Best",لشگرگاه,Afghanistan,Hilmand,,,Kabul
Qandahār,"Kandahar, Qandahar, Quandahar, Kandahr",قندهار,Afghanistan,Kandahār,,,Kabul
Gerešk,"Gereshk, Girishk, Nahr-e Saraj, Nahre Saraj, Nahri Saraj",,Afghanistan,Hilmand,,,Kabul
Sangīn,Sangin,,Afghanistan,Hilmand,,,Kabul
Qalāt-e Ġilzay,"Qalat, Qalat-i-Ghilzai, Qualat",قلات,Afghanistan,Zābul,,,Kabul
Farāh,"Fahrah, Farah",فراه,Afghanistan,Farāh,,,Kabul
Deh Rawūd,"Deh Rawood, Deh Rāvod",,Afghanistan,Urūzgān,,,Kabul
Tarīn Kawt,"Tarin Kawt, Tarin Kowt, Tarin Qawt, Tarīn Qawt, Terincot, Tirin, Tirine Kot",ترين كوت,Afghanistan,Urūzgān,,,Kabul
Anār Darreh,"Anar Dara, Anardarra",,Afghanistan,Farāh,,,Kabul
Zarġun Šahr,"Katawaz, Zarghun Shahr, Zargun Shahr",,Afghanistan,Paktīkā,,,Kabul
Urūzgān,"Oruzgan, Oruzghan, Orūzgān, Qala-i-Hazar, Qala-i-Hazar Qadam, Uruzgan, Uruzghan",,Afghanistan,Urūzgān,,,Kabul
Orgūn,Orgun,,Afghanistan,Paktīkā,,,Kabul
Baġrān,"Baghran, Baghrān, Bagran",,Afghanistan,Hilmand,,,Kabul
Sharan,"Sheran, Zareh Sharan, Zareh Šaran",شرنه,Afghanistan,Paktīkā,,,Kabul
Kūšk,"Kushk, Kūshk",,Afghanistan,Herāt,,,Kabul
Šīndand,"Sabzawar, Shindan, Shindand, Shīndand",,Afghanistan,Farāh,,,Kabul
Khowst,"H̱ōst, Khawst, Khost, Matun, Matūn, H̱awst",خوست,Afghanistan,H̱awst,,,Kabul
Gaz Āb,"Gaz Aab, Gazab, Gīzāb",,Afghanistan,Urūzgān,,,Kabul
Taywarah,"Gawr-e Taywarah, Gor-e Teivare, Gor-e Teywareh, Teivare, Teyvareh, Teywarah",,Afghanistan,Ġawr,,,Kabul
Ġaznī,"Gahzni, Ghazni, Zurmat, Zūrmāt",غزنى,Afghanistan,Ġaznī,,,Kabul
Gardez,"Gardayz, Gardeyz, Gardiz, Gardīz, Ghardez",گرديز,Afghanistan,Paktiyā,,,Kabul
'Alī H̱ayl,"'Alī Kheyl, 'Āli Khēl, Ali Khayl, Ali Kheyl, Alī Khayl, Chamkani, Chamkanī, Čamkanī",,Afghanistan,Paktiyā,,,Kabul
Barakī Barak,"Baraki, Baraki Burak, Baraki Rajan",,Afghanistan,Lawgar,,,Kabul
Pol-e Alam,"Pol-e 'Alam, Poli Alam, Pul-e Alam, Pul-i-Alam, Pulialam",پل علم,Afghanistan,Lawgar,,,Kabul
Šahrak,"Shahrak, Sharak",,Afghanistan,Ġawr,,,Kabul
Ačīn,"Achin, Achīn",,Afghanistan,Nangarhār,,,Kabul
Azrow,"Azraw, Jaji, Jāji, Āzro, Āzrow, Ǧaǧi, Āzraw",,Afghanistan,Lawgar,,,Kabul
Nāder Šāh Kawţ,"Nader Shah Kawt, Nader Shah Kowt, Nader Shah Kut, Nāder Shah Kut, Nāder Shāh Kowţ",,Afghanistan,Nangarhār,,,Kabul
Čahār Burjak,"Chahar Burjak, Chahār Burjak, Char Borjak, Chār Borjak",,Afghanistan,Nimruz,,,Kabul
Batsawul,"Basawul, Bāsawul",,Afghanistan,Nangarhār,,,Kabul
Hugyani,"Khogiani, Khougyani",,Afghanistan,Nangarhār,,,Kabul
Ġūrīān,"Ghūriān, Ghūrīān, Goryan, Goryān, Gurian, Guriyan",,Afghanistan,Herāt,,,Kabul
Zendejān,"Zendeh Jan, Zendeh Jān, Zendehjan, Zendehjān, Zendejan",,Afghanistan,Herāt,,,Kabul
Herāt,,هرات,Afghanistan,Herāt,,,Kabul
Awbeh,"Obai, Obay, Obeh, Obi, Owbeh, Owbi, Owbī, Ubay, Ubeh, Ōbe",,Afghanistan,Herāt,,,Kabul
Panjāb,"Pangab, Panjab, Panǧāb",,Afghanistan,Bāmiyān,,,Kabul
Jalālābād,"Jalal Abad, Jalal Kot, Jalalabad, Jalalkot, Jelalabad, Jelelabad, Ǧalālābād",جلال آباد,Afghanistan,Nangarhār,,,Kabul
Maydānšahr,"Kawt-e Ashraw, Kowt-e 'Ashrow, Kowt-e Ashrow, Maidan, Maidan Shahr, Maidanshahr, Maydan Shahr, Maydanshahr, Maydān Shahr, Maydānshahr, Meidanshahr, Meidānšahr",ميدان شهر,Afghanistan,Maydan-Wardak,,,Kabul
Karuẖ,"Karokh, Karrukh, Karukh, Korkh",,Afghanistan,Herāt,,,Kabul
Baġrāmī,"Baghrami, Baghrāmi, Bagrami, Bagrāmī, Bagrāmē",,Afghanistan,Kabul,,,Kabul
Gardan Dīwāl,"Gardan Dīvāl, Gardandēvāl",,Afghanistan,Maydan-Wardak,,,Kabul
Čaġčarān,"Chagcharan, Chaghcharān, Chakhcharan, Chegcheran, Cheghcheran, Chikcheran, Qala Āhangarān, Shegsheran",چخچران,Afghanistan,Ġawr,,,Kabul
Kabul,"Kabol, Kābol, Kābul, Kabul",كابل,Afghanistan,Kabul,,,Kabul
Paġmān,"Paghman, Paghmān, Pagman",پغمان,Afghanistan,Kabul,,,Kabul
Tir Pol,Tirpul,,Afghanistan,Herāt,,,Kabul
Sarawbi,"Saraobi, Saraowbī, Sarobi, Sarowbi, Sarōbi",,Afghanistan,Kabul,,,Kabul
Kūhestān,Kohsān,,Afghanistan,Herāt,,,Kabul
Mehtar Lām,"Mehter Lam, Mehterlām, Meterlam, Methariam, Metharlam, Mitarlam",مهترلام,Afghanistan,Laġmān,,,Kabul
Eslām Qal'eh,"Eslam Qala, Eslam Qaleh, Islam Qala",,Afghanistan,Herāt,,,Kabul
Mir Baččekut,"Mir Bacheh Kowt, Mir Bachekut, Mīr Bacheh Kowt, Mīr Bachekut",,Afghanistan,Kabul,,,Kabul
Bāmīyān,"Bamian, Bamiyan, Bamyan, Bāmyān, Bāmīān",باميان,Afghanistan,Bāmiyān,,,Kabul
Qarabāġ,"Qara Bagh, Qarabag, Qarabagh, Qarah Bag, Qarah Bagh, Qarah Bāgh",,Afghanistan,Kabul,,,Kabul
Tāġab,"Tagab, Taghab",,Afghanistan,Kāpīsā,,,Kabul
Asādābād,"Asad Abad, Asađābād, Chaghsaray, Chagsaray",اسد آباد,Afghanistan,Kunarhā,,,Kabul
Qarabāġ,"Qara Bagh, Qarabag, Qarabagh, Qarah Bag, Qarah Bagh, Qarah Bāgh",,Afghanistan,Herāt,,,Kabul
Nūristān,,نورستان,Afghanistan,Nūristān,,,Kabul
Qal'eh-ye Naw,"Kalainow, Qal'eh-ye Now, Qala-e Nau, Qala-i-Nau, Qalai Nao, Qulai Nao",قلعه نو,Afghanistan,Bādgīs,,,Kabul
Čārīkār,"Charekar, Charikar, Chārīkār, Sharikar",چاريكار,Afghanistan,Parwān,,,Kabul
Mah̨mūd-e Rāqī,"Mahmoud Raqui, Mahmud-e Raqi, Mahmudraki, Mah̨mūd-e 'Erāqī",محمود راقى,Afghanistan,Kāpīsā,,,Kabul
Asmār,Asmar,,Afghanistan,Kunarhā,,,Kabul
Jabal-os-Sarāj,"Jabal-os-Saraj, Jabul Saraj, Ǧabal-os Sarāǧ",,Afghanistan,Parwān,,,Kabul
Marġī,"Marghi, Marghī, Margi",,Afghanistan,Sar-e Pul,,,Kabul
Tawraġudi,"Tawraghudi, Towraghondi, Towraghoudi, Towragondi",,Afghanistan,Herāt,,,Kabul
Qil Qal'eh,"Qil Qala, Quil-Qala",,Afghanistan,Bāmiyān,,,Kabul
Čīras,"Chiras, Chīras",,Afghanistan,Sar-e Pul,,,Kabul
Lar Gerd,,,Afghanistan,Sar-e Pul,,,Kabul
Qal'eh Šahr,"Qal'eh Shahr, Qala Shahar, Qala Shāhar, Qala-e Shahr, Qala-i-Shahr",,Afghanistan,Sar-e Pul,,,Kabul
Bālā Morġāb,"Bala Morgab, Bala Morghab, Bālā Morghāb, Morgab, Morghab, Morghāb, Morgāb",,Afghanistan,Bādgīs,,,Kabul
Andarāb,"Banaw, Banow, Banō",,Afghanistan,Baġlān,,,Kabul
Tagaw Bāy,"Tagaw Bay, Tagow Bay, Tāgow Bay",,Afghanistan,Sar-e Pul,,,Kabul
Sang-e Čārak,"Sang Charak, Sang Čarak",,Afghanistan,Sar-e Pul,,,Kabul
Dahaneh-ye Ġawri,"Dahana Ghori, Dahana Gori, Dahaneh-ye Ghowri",,Afghanistan,Baġlān,,,Kabul
Maymanah,"Maimāna, Maymana, Meymaneh",ميمنه,Afghanistan,Fāryāb,,,Kabul
Tokzār,"Sangcharak, Tokzar, Tukzar, Tukzār",,Afghanistan,Sar-e Pul,,,Kabul
Pol-e H̱umrī,"Pol-e Khomri, Poli Khomri, Pul-e H̱umri, Pul-e Khomri, Pul-e Khumri, Pul-i-Khomri, Pul-i-Khumri",پل خمري,Afghanistan,Baġlān,,,Kabul
Darzi Āb,"Darzab, Darzi Aab",,Afghanistan,Fāryāb,,,Kabul
Nahrīn,"Nahraine, Nahrayn",,Afghanistan,Baġlān,,,Kabul
Baġlān,"Baghlan, Baghlān, Baglan",بغلان,Afghanistan,Baġlān,,,Kabul
Sar-e Pul,"Sar-e Pol, Sar-i Pol, Sar-i-Pul, Sari Pol",سر پل,Afghanistan,Sar-e Pul,,,Kabul
Āybak,"Aibak, Samangān, Uiback",آيبك,Afghanistan,Samangān,,,Kabul
Šulgara,"Sholgar, Sholgara, Shulgara, Shulgareh, Shūlgareh",,Afghanistan,Balẖ,,,Kabul
Eškameš,"Ashkamesh, Eshkamesh",,Afghanistan,Taẖār,,,Kabul
Dawlātābād,"Dawlat Abad, Dawlatabad, Dolatabad, Dowlatabad, Dowlātābād",,Afghanistan,Fāryāb,,,Kabul
Farẖar,Farkhar,,Afghanistan,Taẖār,,,Kabul
Shibarghan,"Shebergan, Sheberghan, Sherberghan, Shibargan, Shibergan, Shiberghan, Šibarġan",شبرغان,Afghanistan,Jawzjān,,,Kabul
H̱ānābād,"Khanabad, Khānābād",خان آباد,Afghanistan,Kunduz,,,Kabul
Kholm,"Khulm, Tashkorgan, Tashkurgan, Tashqurgan, Taškurgan, Tašqurgan, H̱olm",خلم,Afghanistan,Samangān,,,Kabul
Mazār-e Šarīf,"Mazar-e Sharif, Mazar-i-Sharif, Mazari Sharif, Mazār-e Sharīf",مزار شريف,Afghanistan,Balẖ,,,Kabul
Eškašem,"Ashkasham, Ashkāsham, Eshkashem, Eshkāshem, Ishkashim",,Afghanistan,Badaẖšan,,,Kabul
Qundūz,"Kondoz, Kondūz, Kūnduz, Qondūz",قندوز,Afghanistan,Kunduz,,,Kabul
Tāloqān,"Taleqan, Talokan, Taloqan, Taloquan, Talukan, Taluqan, Tāluqān",تالقان,Afghanistan,Taẖār,,,Kabul
Balẖ,"Balkh, Wazirabad",بلخ,Afghanistan,Balẖ,,,Kabul
Jurm,Jorm,,Afghanistan,Badaẖšan,,,Kabul
Andẖvoy,"Andkhoy, Andkhui, Andkhvoy",اندخوي,Afghanistan,Fāryāb,,,Kabul
Āqčah,"Aqchah, Aqucha, Āqchah, Āqcheh",,Afghanistan,Jawzjān,,,Kabul
H̱andūd,"Khandud, Khandūd",,Afghanistan,Badaẖšan,,,Kabul
Dawlātābād,"Dawlat Abad, Dawlatabad, Dolatabad, Dowlatabad, Dowlātābād",,Afghanistan,Balẖ,,,Kabul
Qal'eh-ye Zal,"Qala'i-Zal, Qalazal, Qualai Zal",,Afghanistan,Kunduz,,,Kabul
Qal'eh-ye Panjeh,Qala Panja,,Afghanistan,Badaẖšan,,,Kabul
Qarchi Gak,,,Afghanistan,Balẖ,,,Kabul
